;;hallo;;;inte;;1;hello
der;;Händler;~s;~;noun;job, pers;2;trader, merchant
;;Hau ab!;;;expr;;3;Get lost!, Beat it!
das;;Haus;~es;⍨er;noun;plac;1;house
der;;Haushalt;~s, ~es;~e;noun;conc;2;household
der;;Heimwerker;~;~;noun;pers;2;amateur
die;;Heizung;~;~en;noun;conc;2;heating
s3;;helfen;;;verb;;2;to help
das;;Hemd;~s, ~es;~en;noun;clot;2;shirt
der;;Herausgeber;~s;~;noun;job, pers;3;publisher
der;;Herr;~n;~en;noun;pers;2;gentleman
der;;Hersteller;~s;~;noun;job, pers;2;manufacturer
;;herzlich;~er;~sten;adj;;2;cordial, hearty
;;hilfreich;;;adj;;100;useful, helpful
;;hoch;höher;⍨sten;adj;;2;high
die;;Hochzeit;~;~en;noun;eve;2;wedding
;;hoh;;;;;100;
;;hohe;;;adj;;2;high, tall
die;;Hose;~;~n;noun;clot;2;trousers
der;;Hund;~es, ~s;~e;noun;anim;1;dog
der;;Hunger;~s;–;noun;;1;hunger
der;;Hut;~s, ~es;⍨e;noun;clot;1;hat
;;ich;;;pron;;1;I
;;ihr;;;pron;;2;you
;;in;;;prep;;1;in, within, at
;;individuell;~er;~sten;adj;;2;individual
die;;Integration;~;~en;noun;;2;integration
;;interessant;;;adj;pers;1;interesting
;;intern;;;adj;;2;internal
;;international;–;–;adj;;2;international
der;;Investor;~s;~en;noun;pers;1;investor
;;ja;;;adv;;1;yes
die;;Jacke;~;~n;noun;clot;1;jacket
;;jede;–;–;adj;;2;each, every
;;jemand;;;pron;;2;someone, somebody
;;jung;⍨er;⍨sten;adj;;2;young
der;;Junge;~n;~n, Jungs, ~ns;noun;pers, chil;1;child, kid
der;;Kaffee;~s;~s;noun;dri;1;coffee
der;;Kaiser;~s;~;noun;job, pers;2;emperor
;;kalt;⍨er;⍨esten;adj;;2;cold
;;kaputt;~er;~esten;adj;;2;broken, out of order
der;;Käse;~s;~;noun;food;1;cheese
die;;Katze;~;~n;noun;anim;1;cat
der;;Käufer;~s;~;noun;pers;1;buyer
;;kein;;;art;;1;no, not
der;;Keller;~s;~;noun;plac;2;cellar, basement
w;;kennen;;;verb;;2;to know
das;;Kind;~s, ~es;~er;noun;pers, chil;1;kid, child
;;klar;~er;~sten;adj;;1;clear
das;;Kleid;~es, ~s;~er;noun;;2;dress
die;;Kleidung;~;~en;noun;clot;2;clothing
;;klein;~er;~sten;adj;;2;small, little
;;knapp;~er;~sten;adj;;2;tight, lean
der;;Koch;~s;⍨e;noun;;2;cook
s4;;kommen;;;verb;;1;to come
;;komplett;–;–;adj;;2;complete
die;;Kosmetik;~;–;noun;;2;cosmetics
;;kostenlos;;;adj;;2;free, without cost
der;;König;~es, ~s;~e;noun;job, pers;1;king
die;;Krippe;~;~n;noun;furn;3;crib
die;;Kritik;~;~ken;noun;read;2;criticism, review
die;;Krone;~;~n;noun;clot;2;crown
;;kurz;⍨er;⍨esten;adv;;2;briefly
;;kürzlich;;;adv;;2;recently
der;;Laden;~s;⍨;noun;plac;2;shop
die;;Lampe;~;~n;noun;furn;1;lamp
;;lang;⍨er;⍨sten;adj;;2;long
s7;;laufen;;;verb;;2;to run, to walk
s7;;lauten;;;verb;;3;to sound
das;;Lebensmittel;~s;~;noun;;2;groceries
das;;Leder;~s;~;noun;mat;2;leather
der;;Lehrer;~s;~;noun;job, pers;1;teacher
die;;Lehrerin;~;~nen;noun;job, pers;1;teacher
